    8062 CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C
    8063 COc1ccc(OC2O[C@@H](C(=O)O[C@H]3C[C@H]4[C@@H](OC(C)=O)[C@@H]5[C@@H]6CN[C@@H]6CC[C@@]5(C)[C@@H](OC(C)=O)[C@H](OC(C)=O)C(=C3C)C4(C)C)[C@H](c3ccccc3)N2C(=O)c2ccccc2)cc1
    8102 CC(=O)O[C@@H]1C2=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C[C@@H]([C@@H](OC(C)=O)[C@@H]3[C@@H]4CN[C@@H]4CC[C@@]3(C)[C@H]1OC(C)=O)C2(C)C
    8150 CC(=O)O[C@@H]1C2=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C[C@@H]([C@@H](OC(C)=O)[C@@H]3[C@@H]4CN(C(=O)C(F)(F)F)[C@@H]4CC[C@@]3(C)[C@H]1OC(C)=O)C2(C)C
    8149 CC(=O)O[C@@H]1C2=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C[C@@H]([C@@H](OC(C)=O)[C@@H]3[C@@H]4CN(C(C)=O)[C@@H]4CC[C@@]3(C)[C@H]1OC(C)=O)C2(C)C
    8176 COc1ccc(OC2O[C@@H](C(=O)O[C@H]3C[C@H]4[C@@H](OC(C)=O)[C@@H]5[C@@H]6CN(C(C)=O)[C@@H]6CC[C@@]5(C)[C@@H](OC(C)=O)[C@H](OC(C)=O)C(=C3C)C4(C)C)[C@H](c3ccccc3)N2C(=O)c2ccccc2)cc1
    8946 CC(c1ccccc1)C(CSC(=O)C12CC3CC(CC(C3)C1)C2)C(=O)N[C@@H](C)C(=O)O
    8968 CC(c1ccccc1)C(CSC(=O)C12CC3CC(CC(C3)C1)C2)C(=O)N[C@@H](C)C(=O)OCc1ccccc1
    9013 C=CC1O[C@@H]2[C@H](O1)C1=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C[C@@](O)([C@@H](OC(=O)c3ccccc3)[C@H]3[C@@]2(C)[C@@H](O)C[C@H]2OC[C@]23OC(C)=O)C1(C)C
    9014 CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)[C@H](O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccco4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C
