913928 O=C1N(CCCl)c2ccc(Br)cc2C12OCCO2 | Pyruvate kinase isozymes M1/M2
918095 Cc1c(C(=O)N2CCC3(CC2)CC(=O)c2ccccc2O3)cccc1[N+](=O)[O-] | 6-phospho-1-fructokinase
933716 C/C=C/C=C\C(=O)Nc1cccc(C2=NOC3(C2)C[C@H](C(N)=O)N(C(=O)/C=C/C)C3)c1 | Pyruvate kinase isozymes M1/M2
935433 C/C=C\C(=O)Nc1cccc(C2=NOC3(C2)C[C@@H](C(N)=O)N(C(=O)CC(c2ccccc2)c2ccccc2)C3)c1 | Serine-protein kinase ATM
936603 C=C1C2CC[C@@]3(C)C(c4ccoc4)OC(=O)C[C@@]13OC1CC(O)C(C)(C)C(CC(=O)OC)[C@@]12C | MAP kinase ERK2
937245 O=C1CC(c2ccccc2)CC2=C1C1(CCCC1)N=C(Nc1nc3ccccc3o1)N2 | Galactokinase
938368 N#Cc1cccc(NC(=O)N2CC3(CCN(C(=O)c4cnccn4)CC3)C2)c1 | MAP kinase ERK2
938800 CC(C)c1cc2c(c(O)c1O)[C@@]13CCCC(C)(C)C1CC2OC3=O | Pyruvate kinase
945073 CC1(C)CC(=O)C2=C(C1)NC(Nc1nc3ccccc3o1)=NC21CCCC1 | Galactokinase
954604 CCN(CC(=O)Nc1ccc(NC(C)=O)cc1)C(=O)CN1C(=O)NC2(CCCC2)C1=O | 6-phospho-1-fructokinase
955223 COc1cc2c(cc1OC)C(SC)=NC1(CCCC1)C2 | MAP kinase ERK2
956019 Cc1nccn1CCCN1C(=O)OC2(CCCCC2)C1(C)O | MAP kinase ERK2
966501 CCCC(=O)Nn1cnc2c(c1=O)C1(CCCCC1)Cc1ccccc1-2 | Pyruvate kinase isozymes M1/M2
969818 CSc1sc(C(=O)NN)c2c1C1(CCC2)SCCS1 | Pyruvate kinase isozymes M1/M2
969905 C=CCN1C(=O)C2(C(C#N)=C(N)Oc3[nH]nc(CCC)c32)c2ccccc21 | MAP kinase ERK2
972301 CCN(CC)C(=O)CN1C(=O)NC2(CCc3ccccc3C2)C1=O | Serine-protein kinase ATM
974805 O=C1CCCC2=C1C1(CCC1)N=C(Nc1nc3ccccc3o1)N2 | Galactokinase
974867 Cc1ccc2oc(NC3=NC4(CCCC4)C4=C(CCCC4=O)N3)nc2c1 | Galactokinase
979671 C/C=C/C=C/C(=O)N1CC2(CC(c3cccc(NC(=O)/C=C/C)c3)=NO2)C[C@@H]1C(N)=O | Pyruvate kinase isozymes M1/M2
