7963 CC12NC(Cc3ccccc31)c1ccccc12 | 6-phospho-1-fructokinase
712141 CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn23)c(F)c1F | Serine/threonine-protein kinase B-raf
712142 CN1C[C@@H]2C[C@H]1CN2c1cc(F)c(-c2ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn23)cc1F | Serine/threonine-protein kinase B-raf
712144 CN1C[C@@H]2C[C@H]1CN2c1c(F)cc(-c2ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn23)cc1F | Serine/threonine-protein kinase B-raf
712146 CN1C[C@@H]2C[C@H]1CC2c1cc(F)ccc1-c1ccnc2c(-c3cccc4[nH]ncc34)c(-c3ccncc3)nn12 | Serine/threonine-protein kinase B-raf
712145 CN1C[C@@H]2C[C@H]1CN2c1c(F)c(F)c(-c2ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn23)c(F)c1F | Serine/threonine-protein kinase B-raf
712147 CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4ccc(F)c5[nH]ncc45)c(-c4ccncc4)nn23)cc1 | Serine/threonine-protein kinase B-raf
712148 Cc1cc(N2C[C@@H]3C[C@H]2CN3C)ccc1-c1ccnc2c(-c3ccc(F)c4[nH]ncc34)c(-c3ccncc3)nn12 | Serine/threonine-protein kinase B-raf
712149 CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4ccc(F)c5[nH]ncc45)c(-c4ccncc4)nn23)c(F)c1 | Serine/threonine-protein kinase B-raf
712150 CN1C[C@@H]2C[C@H]1CN2c1cc(F)c(-c2ccnc3c(-c4ccc(F)c5[nH]ncc45)c(-c4ccncc4)nn23)c(F)c1 | Serine/threonine-protein kinase B-raf
712151 CN1C[C@@H]2CC[C@H]1CN2c1ccc(-c2ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn23)cc1 | Serine/threonine-protein kinase B-raf
712152 CN1C[C@@H]2CC[C@H]1CN2c1ccc(-c2ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn23)c(F)c1 | Serine/threonine-protein kinase B-raf
712153 Fc1cc(CN2C[C@@H]3C[C@H]2CO3)ccc1-c1ccnc2c(-c3cccc4[nH]ncc34)c(-c3ccncc3)nn12 | Serine/threonine-protein kinase B-raf
712154 Fc1cc(CN2C[C@H]3C[C@@H]2CO3)ccc1-c1ccnc2c(-c3cccc4[nH]ncc34)c(-c3ccncc3)nn12 | Serine/threonine-protein kinase B-raf
712156 Fc1cc(CN2C3COCC2COC3)ccc1-c1ccnc2c(-c3cccc4[nH]ncc34)c(-c3ccncc3)nn12 | Serine/threonine-protein kinase B-raf
712159 CC(C)CN1C[C@@H]2C[C@H]1CN2c1cc(F)c(-c2ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn23)c(F)c1 | Serine/threonine-protein kinase B-raf
712158 CC(C)N1C[C@@H]2C[C@H]1CN2c1cc(F)c(-c2ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn23)c(F)c1 | Serine/threonine-protein kinase B-raf
712160 Fc1cc(N2C[C@@H]3C[C@H]2CN3C2CCC2)cc(F)c1-c1ccnc2c(-c3cccc4[nH]ncc34)c(-c3ccncc3)nn12 | Serine/threonine-protein kinase B-raf
712940 CN1C[C@@H]2C[C@H]1CN2c1cccc(-c2ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn23)c1 | Serine/threonine-protein kinase B-raf
713029 c1cc(-c2c(-c3ccncc3)nn3c(-c4ccc(CN5C[C@@H]6C[C@H]5CO6)cc4)ccnc23)c2cn[nH]c2c1 | Serine/threonine-protein kinase B-raf
713346 CC1(C)[C@@H]2CC[C@@]1(C)c1nc3cc4cn[nH]c4cc3nc12 | Serine/threonine-protein kinase PIM1
713436 CC1(C)[C@H]2CC[C@]1(C)c1nc3cc4[nH]ncc4cc3nc12 | Serine/threonine-protein kinase PIM1
714203 CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn23)cc1 | Serine/threonine-protein kinase B-raf
717187 CC1(C)C2CCCC1(C)[C@@H]2Nc1nc2cc[nH]c(=O)c2c2cc(F)ccc12 | Tyrosine-protein kinase JAK2
728011 CC12CCCCC1c1ccccc1C(NCC(=O)O)=N2 | MAP kinase ERK2
728259 O=C(NN1C(=O)C2C3c4ccccc4C(c4ccccc43)C2C1=O)c1ccccc1 | MAP kinase ERK2
733200 COc1ccc(OC2OC3COC(c4ccco4)OC3C(O)C2NC(C)=O)cc1 | Pyruvate kinase isozymes M1/M2
735578 O=C(O)[C@H]1NC[C@H]2C[C@H]21 | Pyruvate kinase isozymes M1/M2
735765 Cn1c2c(c(=O)n(C)c1=O)C(c1ccccc1OC(F)F)C1=C(O)CCCC1=N2 | Pyruvate kinase isozymes M1/M2
736469 Cc1ccc2c(c1)C1CN(C)CCC1N2C(=O)c1cccs1 | MAP kinase ERK2
737880 C[C@]12c3[nH]c4cc(-c5ccco5)ccc4c3CCN1C(=O)[C@@H](CC(=O)NCc1cccc(C(F)(F)F)c1)C[C@@H]2C(=O)N1CCCCC1 | Serine-protein kinase ATM
737929 CCN(CC)C(=O)[C@H]1C[C@H](CC(=O)NCCCOC)C(=O)N2CCc3c([nH]c4cc(CCC(=O)N(C)C)ccc34)[C@]12C | Serine-protein kinase ATM
737946 O=C1CCCC2=C1C1(CCCOC1)N=C(Nc1nc3ccccc3o1)N2 | Galactokinase
740205 CN(C)CCCO[C@H]1[C@@H]([C@H](O)CO)O[C@@H]2OC(C)(C)O[C@H]12 | 6-phospho-1-fructokinase
740302 CCN(CC)C(=O)[C@H]1C[C@H](CC(=O)NCCCn2ccnc2)C(=O)N2CCc3c([nH]c4ccc(Cl)cc34)[C@]12C | Serine-protein kinase ATM
743794 O=C(NN1C(=O)C2C3C=CC(O3)C2C1=O)c1cccc(O)c1 | Pyruvate kinase isozymes M1/M2
745767 CC1(C)O[C@@H]2[C@@H](CO)O[C@@H](n3cnc4c(N)ncnc43)[C@@H]2O1 | Phosphatidylinositol 4-kinase, PI4K
745866 CCN(CC)CCNC(=O)c1ccc(NC2=NC3CS(=O)(=O)CC3S2)cc1 | Serine-protein kinase ATM
746950 CCN(C[C@H]1N[C@@](C)(C(=O)OC)[C@H]2C(=O)N(C)C(=O)[C@@H]12)S(=O)(=O)c1ccc(OC(F)(F)F)cc1.O=C(O)C(F)(F)F | 6-phospho-1-fructokinase
748613 CCS(=O)(=O)C1=NSC2=NC(=O)/C(=C\c3ccc(OS(=O)(=O)c4ccccc4)c(OC)c3)C(=N)N21 | Galactokinase
749153 CC[C@@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21 | MAP kinase ERK2
749760 O=C1CCCC2=C1C1(CCCCC1)NC(Nc1nc3ccccc3o1)=N2 | Galactokinase
752948 CN1[C@H]2CCC[C@@H]1CC(=O)C2 | MAP kinase ERK2
756703 Cc1nnc(NC(=O)NCN2C(=O)C3C4C=CC(C4)C3C2=O)s1 | MAP kinase ERK2
759092 O=C1OC(c2ccc(Br)cc2)=N/C1=C\N1CC2CC(C1)c1cccc(=O)n1C2 | MAP kinase ERK2
760418 Cc1ccccc1NC(=O)N1C2CCCC1CC(NC(=O)C(C)(C)C)C2 | Pyruvate kinase isozymes M1/M2
760706 Cc1ccc(S(=O)(=O)N2C(=O)[C@@H]3Cc4ccccc4CN3C2=O)cc1 | Pyruvate kinase
762946 CCOC(=O)C1C(c2ccc([N+](=O)[O-])cc2)C2C(=O)NN=C2CC1(C)O | MAP kinase ERK2
762973 CC1(C)C(C(Cl)Cl)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl | MAP kinase ERK2
763898 O=c1c2ccccc2cnn1Cc1nnc(S)n1C1CC2CCC1C2 | Pyruvate kinase
764689 O=C(/C=C/c1ccc(F)cc1)N1CC[C@@]2(O)CCCC[C@H]2C1 | MAP kinase ERK2
769342 CCOc1cc(/C=C2/C(=N)N3C(=NC2=O)SN=C3S(C)(=O)=O)ccc1OS(=O)(=O)c1ccccc1 | Galactokinase
771615 Cc1ccc(N(CC(=O)NC2CC3CCC2C3)S(C)(=O)=O)cc1C | Serine-protein kinase ATM
771747 Cc1ccc(NC(=O)C2C3C=CC4(CN(Cc5cccnc5)C(=O)C24)O3)cc1F | Pyruvate kinase isozymes M1/M2
772762 COc1cc(CN2CC3CC(C2)c2cccc(=O)n2C3)cc(OC)c1OC | 6-phospho-1-fructokinase
774775 COc1cccc(C(=O)NN2C(=O)C3C4C=CC(O4)C3C2=O)c1 | Pyruvate kinase isozymes M1/M2
779094 CC[C@]12c3[nH]c4ccc(OC)cc4c3CCN1C(=O)C(CC(=O)NCc1cccc(C(F)(F)F)c1)C[C@@H]2C(=O)N1CCN(C(=O)c2ccco2)CC1 | Serine-protein kinase ATM
785028 CC(=O)OC[C@]12CC[C@@H]3[C@@]4(C)CCCC(C)(C)[C@@H]4CC[C@@]3(C)[C@@H]1C[C@H](C1=CC(=O)O[C@@H]1OC(C)=O)O2 | Serine-protein kinase ATM
786839 O=C1/C(=C/c2cccnc2)N=C2CCCCCN12 | Pyruvate kinase isozymes M1/M2
787465 CCCCC1N2CC3([N+](=O)[O-])CN1CC([N+](=O)[O-])(C2)C3(C)C | Pyruvate kinase isozymes M1/M2
788744 COC(=O)C1(C)NC(c2ccco2)C2C(=O)N(c3ccc(F)cc3)C(=O)C21 | 6-phospho-1-fructokinase
791684 Cn1ncc(Cl)c1C(=O)N1CCN(C23CC4CC(CC(C4)C2)C3)CC1 | Serine-protein kinase ATM
793050 COc1ccc(C2NC(S)=NC3=C2N2CCC3CC2)cc1 | Serine-protein kinase ATM
794494 CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@@H]2SC1.[Na+] | Pyruvate kinase
795280 CCC(C)N1C(=O)N(C)C2NC(=O)NC21 | Pyruvate kinase isozymes M1/M2
798069 COc1ccc2c(c1OC)C(=O)N1c3cccc(Cl)c3C(=O)OC21 | MAP kinase ERK2
798759 Cc1[nH]c2ccccc2c1C(=O)C(=O)N1CC2CC(C1)c1cccc(=O)n1C2 | Pyruvate kinase isozymes M1/M2
798793 CC(=O)O[C@H]1CCC2C3CCC4=CC(=O)CCC4=C3C=C[C@@]21C | Pyruvate kinase
799521 Cc1cccc(NC(=O)C2c3ccccc3C(=O)N3CCc4ccccc4C23)n1 | MAP kinase ERK2
801383 Cc1cc(NC(=O)C2C3C(=O)N(CCC(C)C)C(C(=O)NCc4ccccc4)C34C=CC2(C)O4)no1 | MAP kinase ERK2
802494 CC12C=CC3(CN(Cc4ccccc4)C(=O)C3C1C(=O)NCc1ccco1)O2 | MAP kinase ERK2
804212 COc1ccc([C@H]2C=C3CN(C(=O)OC(C)(C)C)S(=O)(=O)[C@H]3C[C@H]2OC(=O)c2cccs2)cc1 | MAP kinase ERK2
806513 CCN1C(=O)C(C(=O)NC(C)c2ccccc2)C2CC1(C)Oc1ccccc12 | MAP kinase ERK2
808284 O=C(Cc1cccc2ccccc12)N1CC[C@@]2(O)CCCC[C@H]2C1 | MAP kinase ERK2
811322 Cc1ccsc1C1C(C#N)=C(N)OC2=C1C(=O)CC(C)C2 | 6-phospho-1-fructokinase
810981 Cc1ccccc1NC(=O)C1C2C=CC(C3CC23)C1C(=O)O | Pyruvate kinase isozymes M1/M2
811579 CC(NC(=O)c1ccc(N2CCNCC2)c([N+](=O)[O-])c1)C12CC3CC(CC(C3)C1)C2 | Pyruvate kinase isozymes M1/M2
811681 CC1CCC2C(=O)N(c3ccc(C(=O)NCc4ccccc4)cc3)C(=O)C2C1 | Pyruvate kinase isozymes M1/M2
813289 CCS(=O)(=O)C1=NN2C(=N)/C(=C\c3ccc(OS(=O)(=O)c4ccccc4)cc3)C(=O)N=C2S1 | Galactokinase
813819 COc1cc(/C=C2/C(=N)N3C(=NC2=O)SN=C3S(=O)(=O)C(C)C)ccc1OS(=O)(=O)c1ccccc1 | Galactokinase
816549 Clc1ccccc1Cc1noc(CN2CCN3CCCC3C2)n1 | MAP kinase ERK2
817760 Cc1ccc(S(=O)(=O)Oc2ccc(/C=C3/C(=N)N4C(=NC3=O)SN=C4S(C)(=O)=O)cc2)cc1 | Galactokinase
817841 O=C1CCCC2=C1C1(CCOCC1)N=C(Nc1nc3ccccc3o1)N2 | Galactokinase
817843 CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4C(C)(O)C3CC12 | Streptokinase A
817876 CCC1CCC2(C1)N=C(Nc1nc3ccccc3o1)NC1=C2C(=O)CCC1 | Galactokinase
818228 COc1cccc(NC(=O)CN(C2=NC3CS(=O)(=O)CC3S2)c2cccc(C)c2)c1 | Pyruvate kinase isozymes M1/M2
818368 CN(C)C(=O)CCc1ccc2c3c([nH]c2c1)[C@]1(CCC2CCCC2)[C@@H](C(=O)N2CCOCC2)C[C@H](CC(=O)NCC24C[C@H]5C[C@@H](C2)C[C@@H](C4)C5)C(=O)N1CC3 | Serine-protein kinase ATM
818544 CC1(C)N=C(Nc2nc3ccccc3o2)NC2=C1C(=O)CCC2 | Galactokinase
818584 C=C1C[C@@]23CCC4[C@@](C)(CCC[C@@]4(C)C(=O)OC)C2CC[C@]1(OC(C)=O)C3 | Serine-protein kinase ATM
818648 CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CS[C@@H]12)c1ccco1.[Na+] | MAP kinase ERK2
819292 CC1(C)CC[C@]2(C(=O)O)C(O)C[C@@]3(C)C(=CCC4[C@]3(C)CCC3C(C)(C)C(O)CC[C@@]34C)C2C1 | MAP kinase ERK2
820265 Cc1ccc(S(=O)(=O)N2C[C@@H]3CCCC[C@@H]3[C@@H](C)[C@H]2c2cn(Cc3ccccc3)c3ccccc23)cc1 | Serine-protein kinase ATM
820559 CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)C[C@H]21.CS(=O)(=O)O | Serine-protein kinase ATM
821074 CC1(C)CC(=O)C2=C(C1)NC(Nc1nc3ccccc3o1)=NC2c1cccc(Cl)c1 | Galactokinase
821535 CCC/N=C1\N(C)C[C@@H]2[C@@H]3C(=O)N(C)C(=O)[C@@H]3[C@](CC)(C(=O)OC)N12.O=C(O)C(F)(F)F | Serine-protein kinase ATM
822163 O=C1CCCC2=C1C1(CCSCC1)N=C(Nc1nc3ccccc3o1)N2 | Galactokinase
826239 CC(N=C(S)NCCN1CCOCC1)C12CC3CC(CC(C3)C1)C2 | Pyruvate kinase isozymes M1/M2
826186 COc1ccc([C@]23Cc4ccccc4[C@H](O2)C2=C(CC(C)(C)CC2=O)O3)cc1 | Pyruvate kinase isozymes M1/M2
827956 CC(C)C12CN3CC(C(C)C)(CN(C1)C31C(=O)Nc3ccccc31)C2=O | MAP kinase ERK2
828785 COc1cc(C2C3=C(CC(C)(C)CC3=O)N(C)C3=C2C(=O)CC(C)(C)C3)ccc1O | Pyruvate kinase
831062 Cc1cc(N2C(=O)C3CCCN3C2c2cccc(Cl)c2)no1 | MAP kinase ERK2
833613 C[C@]12CCC3C(CC=C4C[C@@H](OC(=O)CCC(=O)O)CC[C@@]43C)C1CC[C@@H]2OC(=O)CCC(=O)O | 6-phospho-1-fructokinase
836136 CC1(C)CC(=O)C(C2C3=C(CC(C)(C)CC3=O)OC3=C2C(=O)CC(C)(C)C3)=C(O)C1 | Serine-protein kinase ATM
836806 O=C(CCc1ccccc1)NN1C(=O)C2C3C=CC(O3)C2C1=O | Pyruvate kinase isozymes M1/M2
838938 CCOc1ccc(C2CC(=O)NC3=C2C(=O)CCC3)cc1 | c-Jun N-terminal kinase 3
840348 CCOC(=O)C1(CCOC)CCN(C2C3CC4CC(C3)CC2C4)CC1 | MAP kinase ERK2
841739 COc1cccc(C(=O)NC2CC3CCCC(C2)N3S(=O)(=O)c2ccccc2)c1 | MAP kinase ERK2
846247 CCOc1ccc(NC(=O)CN2C(=O)C3CCCN3C2=O)cc1 | c-Jun N-terminal kinase 3
846361 Cc1ccc(N2C(=O)C3C4C=CC(CN=C(S)N5CCN(c6ccccc6)CC5)(O4)C3C2=O)cc1 | Pyruvate kinase isozymes M1/M2
850265 O=C(C(c1ccccc1)c1ccccc1)N1CC[C@@]2(O)CCCC[C@H]2C1 | Serine-protein kinase ATM
850959 CC(=O)N1C(=O)N(C)C2C1N(C)C(=O)N2C(C)=O | MAP kinase ERK2
853430 Cc1c(C2C(C#N)=C(N)OC3=C2C(=O)CCC3)cnn1C | 6-phospho-1-fructokinase
853590 Cc1cc(NC(=O)CSC2=Nc3ccccc3C3=NC(Cc4ccccc4)C(=O)N23)[nH]n1 | c-Jun N-terminal kinase 3
857240 O=C1CCCC2=C1C1(CCCC1)N=C(Nc1nc3cc(Br)ccc3o1)N2 | Galactokinase
857279 C[N+]1(C)[C@H]2CC[C@@H]1CC(OC(=O)[C@@H](CO)c1ccccc1)C2 | Pyruvate kinase
858060 CC1(C)CC(=O)C2=C(C1)NC(Nc1nc3ccccc3o1)=NC2c1ccccc1Cl | Galactokinase
858834 Oc1ccc2c3c1O[C@@H]1[C@@H](O)CC[C@]4(O)[C@H](C2)N(CC2CCC2)CC[C@@]314 | Pyruvate kinase isozymes M1/M2
860532 O=C1C[C@@H](O)[C@@H](O)[C@H]2[C@H]1CC[C@H]1C(=O)N(c3ccc(F)cc3F)C(=O)[C@H]21 | MAP kinase ERK2
861128 CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@@H]12)c1csc(N)n1.[Na+] | Pyruvate kinase
861595 O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@@H]1O5 | Pyruvate kinase isozymes M1/M2
861773 O=C1CCCC2=C1C1(CCSC1)N=C(Nc1nc3ccccc3o1)N2 | Galactokinase
862120 CC12CCC(=O)N1C(C(=O)Nc1nnc(SCc3ccccc3F)s1)CS2 | Pyruvate kinase
864416 CC(=O)OC1CSC2c3ccccc3C(=O)N2Cc2sccc21 | Pyruvate kinase isozymes M1/M2
864730 COC(=O)C1=C(c2ccc(OC(F)(F)F)cc2)C[C@@H]2CC[C@H]1N2C(=O)NCCNC(C)=O | 6-phospho-1-fructokinase
867179 Cc1ccc(N2C(=O)C3C4C=CC(CC4)C3C2=O)cc1[N+](=O)[O-] | Pyruvate kinase
868698 CC12CC3(C)CC(C)(C1)CC(C(N)=O)(C2)C3 | Pyruvate kinase isozymes M1/M2
869271 CC1(C)CC2(CCCN3C(=O)CSC32)CCS1 | Pyruvate kinase isozymes M1/M2
871589 CC12CN3CC(C)(CN(C1)P3(=O)Oc1ccccc1)C2=O | MAP kinase ERK2
871761 COc1ccc(C2=CC3=C(Br)C(=O)C(C)(O)C(=O)C3=CO2)cc1 | Pyruvate kinase
871785 CC(C)=CCCC1=CCC2C(=O)NNC(=O)C2C1 | Pyruvate kinase isozymes M1/M2
875014 COc1ccc(C(=O)NC23CC4CC(CC(C4)C2)C3)cc1OC | Pyruvate kinase isozymes M1/M2
882620 O=C(Nc1ccccc1)C12CC3CC(C1)CC(n1cnc([N+](=O)[O-])n1)(C3)C2 | Pyruvate kinase isozymes M1/M2
896040 CCC12CN(C(=O)c3ccc([N+](=O)[O-])cc3)CC(CC)(CN(C(=O)c3ccc([N+](=O)[O-])cc3)C1)C2=O | Serine-protein kinase ATM
896337 Cc1ccc2nc(NC3=NC4(CCCC4)C4=C(CCCC4=O)N3)oc2c1 | Galactokinase
896356 CC[C@]12c3[nH]c4cc(-c5ccco5)ccc4c3CCN1C(=O)[C@@H](CC(=O)NCCCOC)C[C@@H]2C(=O)N1CCN(C(=O)c2ccco2)CC1 | Serine-protein kinase ATM
896357 C[C@@H](c1ccccc1)N1C[C@H]2CCCN2c2cc(Br)ccc2S1(=O)=O | Serine-protein kinase ATM
897113 Cc1ccc(S(=O)(=O)N2C[C@@H]3CCCC[C@@H]3[C@@H](C)[C@H]2c2cn(Cc3ccccc3)c3ncccc23)cc1 | Serine-protein kinase ATM
897127 CC1CCC2(C1)N=C(Nc1nc3ccccc3o1)NC1=C2C(=O)CCC1 | Galactokinase
898090 COc1ccccc1NC(=O)N1C[C@@H]2C[C@@H](C1)c1cccc(=O)n1C2 | Pyruvate kinase isozymes M1/M2
899182 CC(=O)C1CC[C@H]2C3CC[C@@H]4CC(O)CC[C@@]4(C)C3CC[C@]12C | MAP kinase ERK2
899642 O=C(O)[C@@H]1[C@@H]2C[C@H]([C@@H](Br)[C@H]2N2C(=O)CCC2=O)[C@@H]1C(=O)O | MAP kinase ERK2
900097 CC[C@]12c3[nH]c4ccc(Cl)cc4c3CCN1C(=O)[C@@H](CC(=O)NCCCOC)C[C@@H]2C(=O)N1CCN(C(=O)c2ccco2)CC1 | Serine-protein kinase ATM
900968 CC(=O)O[C@H]1CC2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O | 6-phospho-1-fructokinase
903477 CN1C[C@@H]2C(c3ccccc3)C3(c4ccc(C#N)cc4)CC2(C3)[C@H]1c1ccccc1 | MAP kinase ERK2
905352 O=C(O)/C=C/C(=O)OC1CC2CCC1C2 | Serine-protein kinase ATM
908110 CN(C1CC(C)(C)N(O)C(C)(C)C1)S(=O)(=O)CC12CCC(CC1=O)C2(C)C.Cl | Pyruvate kinase isozymes M1/M2
909852 CCOC(=O)C1C2NC(=O)N(Cc3ccccc3)C1(C)Oc1c(OC)cccc12 | MAP kinase ERK2
911957 COC(=O)[C@@]12CCCN1[C@H](c1ccc(-c3ccccc3)cc1)[C@H]1C(=O)N(C)C(=O)[C@H]12.O=C(O)C(F)(F)F | Serine-protein kinase ATM
912527 CCC12CC3CC(C1)CC(C(=O)NNC(N)=O)(C3)C2 | Pyruvate kinase isozymes M1/M2
913840 Oc1ccc(O)c2c1C1c3ccccc3C2c2ccccc21 | Pyruvate kinase
913954 COC(=O)c1ccccc1NC(=O)CN1C(=O)C2CCCN2c2ncc(Cl)cc21 | c-Jun N-terminal kinase 3
917132 Oc1ccc(C23CC4CC(CC(C4)C2)C3)cc1O | Pyruvate kinase
919702 O=C(CCN1C(=O)C2CC=CCC2C1=O)NC1CCCCC1 | Serine-protein kinase ATM
920268 OC1=C2C(=Nc3ccccc3NC2c2cccnc2)CCC1 | MAP kinase ERK2
920493 O=C1CCCN1CCC12CC3CC(CC(C3)C1)C2 | Pyruvate kinase isozymes M1/M2
920880 O=C(O)CSC12CC3CC(C1)CC(C(=O)O)(C3)C2 | Pyruvate kinase isozymes M1/M2
922194 COc1ccccc1N=C(S)N1C2CCC1CC(NC(=O)NC13CC4CC(CC(C4)C1)C3)C2 | Pyruvate kinase isozymes M1/M2
930893 CCc1ccccc1NC(=O)NC1CC2CCC(C1)N2Cc1ccco1 | Pyruvate kinase isozymes M1/M2
934481 Cc1ccc(C(=O)NCCN2C3=NC[C@H](C)N3C[C@H]2Cc2ccc(O)cc2)cc1Br | MAP kinase ERK2
935477 Cc1ccc(NC(S)=NCC23C=CC(O2)C2C(=O)N(c4ccc(C)cc4)C(=O)C23)cc1 | Pyruvate kinase isozymes M1/M2
935731 CC1(C)CC(=O)C2=C(C1)NC(Nc1nc3ccccc3o1)=NC2c1cccnc1 | Galactokinase
936603 C=C1C2CC[C@@]3(C)C(c4ccoc4)OC(=O)C[C@@]13OC1CC(O)C(C)(C)C(CC(=O)OC)[C@@]12C | MAP kinase ERK2
937090 COC(=O)C1=C(c2c(C)noc2C)C[C@@H]2CC[C@H]1N2C(=O)NCC1CC1 | Serine-protein kinase ATM
937180 O=C(COC(=O)C1CC2CCCC(C1)C2=O)NNC(=O)c1ccccc1Br | 6-phospho-1-fructokinase
937245 O=C1CC(c2ccccc2)CC2=C1C1(CCCC1)N=C(Nc1nc3ccccc3o1)N2 | Galactokinase
937404 COc1cccc(C2N=C(Nc3nc4ccccc4o3)NC3=C2C(=O)CC(C)(C)C3)c1 | Galactokinase
938800 CC(C)c1cc2c(c(O)c1O)[C@@]13CCCC(C)(C)C1CC2OC3=O | Pyruvate kinase
939840 CCOC(=O)N/N=C1/C[C@@H](O)[C@@H](O)[C@H]2[C@@H]1CC[C@@H]1C(=O)N(C[C@@H]3CCCO3)C(=O)[C@H]12 | MAP kinase ERK2
940640 COc1cc(N)c(Cl)cc1C(=O)NC1CN2CCC1CC2.Cl.O | MAP kinase ERK2
945073 CC1(C)CC(=O)C2=C(C1)NC(Nc1nc3ccccc3o1)=NC21CCCC1 | Galactokinase
946618 COCCCN=C(S)NC1CC2CCCC(C1)N2Cc1ccco1 | Pyruvate kinase isozymes M1/M2
948968 CCOC(=O)c1cccc(N2C(=O)C3C4C=CC(CC4)C3C2=O)c1 | Serine-protein kinase ATM
952613 Cc1cccnc1NC1(C(F)(F)F)N=C2SCCN2C1=O | MAP kinase ERK2
954001 O[C@H]1C2CCC1C(N1CCCCC1)CC2 | Pyruvate kinase isozymes M1/M2
955472 CCCN1C2CCCC1CC(N=C(S)Nc1cccc(C)c1C)C2 | Serine-protein kinase ATM
956511 O=C(O)C(=O)O.O=S(=O)(c1ccc(F)cc1)N1CCN(CC2CC3C=CC2C3)CC1 | Pyruvate kinase isozymes M1/M2
962622 COc1cc(/C=C2\C(=N)N3N=C(S(C)(=O)=O)SC3=NC2=O)ccc1OS(=O)(=O)c1ccccc1 | Galactokinase
963180 O=C(NCc1ccccc1)NC12CC3CC(CC(C3)C1)C2 | MAP kinase ERK2
965883 Fc1ccc(C2N3CCCN23)cc1 | Serine-protein kinase ATM
966242 CN1C(=O)N(C)C2(c3ccccc3)NC(=O)NC12c1ccccc1 | Pyruvate kinase isozymes M1/M2
966668 CC(C)C12CCC(C)(O1)C(OC(=O)Nc1ccccc1)C2 | MAP kinase ERK2
969982 Br.NC12CC3CC(C1)CC(O)(C3)C2 | Pyruvate kinase isozymes M1/M2
970774 CS(=O)(=O)C1=NSC2=NC(=O)/C(=C\c3ccc(OS(=O)(=O)c4ccccc4)cc3)C(=N)N21 | Galactokinase
971950 N#CCCC12CCCCC1=Nc1ccccc12 | c-Jun N-terminal kinase 3
974124 Sc1nnc(C23CC4CC(CC(C4)C2)C3)n1Cc1ccco1 | Pyruvate kinase
974805 O=C1CCCC2=C1C1(CCC1)N=C(Nc1nc3ccccc3o1)N2 | Galactokinase
974866 O=C1CCCC2=C1C(c1ccccc1Cl)N=C(Nc1nc3ccccc3o1)N2 | Galactokinase
974867 Cc1ccc2oc(NC3=NC4(CCCC4)C4=C(CCCC4=O)N3)nc2c1 | Galactokinase
974875 O=C1CCC2=C1C(c1ccccc1Cl)N=C(Nc1nc3ccccc3o1)N2 | Galactokinase
975245 O=C(CCNC(=O)N1C[C@@H]2C[C@H](C1)Cn1c2cccc1=O)Nc1ccc(F)cc1 | Pyruvate kinase isozymes M1/M2
975522 CC[C@]1(C(=O)OC)[C@H]2C(=O)N(C)C(=O)[C@H]2[C@H]2CN(C)/C(=N\C3CCCCC3)N21.O=C(O)C(F)(F)F | Serine-protein kinase ATM
975859 COCCCN(CCNC(=O)c1ccc(NC2=NC3CS(=O)(=O)CC3S2)cc1)Cc1ccco1 | Pyruvate kinase isozymes M1/M2
