7963 CC12NC(Cc3ccccc31)c1ccccc12 | 6-phospho-1-fructokinase
113216 C[C@]12CC[C@H]3[C@@H](CC[C@@H]4C/C(=N/O)CC[C@]34C)[C@@H]1CC[C@@H]2O | Pyruvate dehydrogenase kinase
113265 C=C=C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21C | Pyruvate dehydrogenase kinase
122111 O=C(N[C@@H]1C2CC(C3CCCC32)[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1 | Protein kinase C alpha
122112 CC1(C)C2CCC1(C)[C@@H](OC(=O)c1cc(O)c(C(=O)c3c(O)cccc3C(=O)O)c(O)c1)[C@@H]2NC(=O)c1ccc(O)cc1 | Protein kinase C alpha
122837 O=C(N[C@@H]1C2CCC(C2)[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1 | Protein kinase C alpha
122838 O=C(N[C@@H]1CN2CCC(CC2)[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1 | Protein kinase C alpha
128477 CC1O[C@H](O)C2OC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC2C1O | Protein kinase C (PKC)
128838 Oc1cc(O)c2c(c1)O[C@@]1(c3ccc(O)c(O)c3)Oc3cc(O)c4c(c3C2[C@H]1O)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C4c1c(O)cc(O)c2c1O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2 | Protein kinase C (PKC)
128837 Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)[C@H]2c1c(O)cc(O)c2c1O[C@@]1(c3ccc(O)c(O)c3)Oc3cc(O)c4c(c3C2[C@H]1O)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C4c1c(O)cc(O)c2c1O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2 | Protein kinase C (PKC)
128935 O=C1CC2O[C@H](O)C3OC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)OC3C2OC(=O)c2cc(O)c(O)c(O)c2-c2c1cc(O)c(O)c2O | Protein kinase C (PKC)
128936 O=C(O[C@H]1OC2CC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC2C(O)C1O)c1cc(O)c(O)c(O)c1 | Protein kinase C (PKC)
129320 Oc1cc(O)c2c(c1)O[C@@]1(c3ccc(O)c(O)c3)Oc3cc(O)c4c(c3C2[C@H]1O)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C4 | Protein kinase C (PKC)
129375 O=C(OC1C2OC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)CC2O[C@H](OC(=O)c2cc(O)c(O)c(O)c2)C1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1 | Protein kinase C (PKC)
129412 O=C(O[C@H]1OC2CC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC2C2OC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC21)c1cc(O)c(O)c(O)c1 | Protein kinase C (PKC)
129556 O=C(OC1COC(=O)c2cc(O)c(O)c(O)c2-c2c(cc(O)c(O)c2O)C(=O)OC1C1OC(=O)c2cc(O)c(O)c(O)c2-c2c(O)c(O)c(O)c3c2C(=O)OC1[C@@H]3O)c1cc(O)c(O)c(O)c1 | Protein kinase C (PKC)
129621 CN[C@H]1CC2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6cc(O)ccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
130278 O=C1OC2COC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(O)c4oc(=O)c5c(c(O)c(O)c6oc(=O)c3c4c65)-c3c(cc(O)c(O)c3O)C(=O)OC2C2OC(=O)c3c(c(O)c(O)c(O)c3-c3c(O)c(O)c(O)c4c3C(=O)OC2[C@@H]4O)-c2c1cc(O)c(O)c2O | Protein kinase C (PKC)
132212 O=C(NC1C2CC3CC(C2)CC1C3)C(O)(C(F)(F)F)C(F)(F)F | Pyruvate dehydrogenase kinase
132244 CNS(=O)(=O)NC1C2CC3CC(C2)CC1C3 | Pyruvate dehydrogenase kinase
132586 CCC(O)(C(=O)NC1C2CC3CC(C2)CC1C3)C(F)(F)F | Pyruvate dehydrogenase kinase
132621 CC(C)(O)C(=O)NC1C2CC3CC(C2)CC1C3 | Pyruvate dehydrogenase kinase
